Clean_Symbol,GSM2048265,GSM2048266,GSM2048267,GSM2048268,GSM2048269,GSM2048270,GSM2048271,GSM2048272,GSM2048273,GSM2048274,GSM2048275,GSM2048276,GSM2048277,GSM2048278,GSM2048279,GSM2048280,GSM2048281,GSM2048282,GSM2048283,GSM2048284,GSM2048285,GSM2048286,GSM2048287
A1CF,4.867896463992655,4.694880192799191,2.4329594072761065,5.825276830054866,5.013462259806563,3.596935142387232,4.392317422778761,5.7865963618908065,5.802193216941825,4.161887682376894,3.7548875021634687,6.017921907997263,2.678071905112638,2.321928094887362,3.572889668420581,4.968090752045256,5.133399125417198,2.1043366598147357,5.683696454306515,5.436295119839363,1.8073549220576042,5.906890595608519,3.350497247084133
A2M,11.240135412604904,11.450901929767163,11.730894646541671,11.241923582195367,11.856503341793527,10.943467190489626,11.482152495638225,11.108655129758729,10.736232789511321,11.71699089440494,11.69905184401685,11.34800884014129,7.973840839533145,11.346846113086675,10.774869402858574,11.574498921282238,11.245017835479931,10.918714190831889,11.988542682240245,9.455943624945807,11.756848167722424,11.319841441414402,10.70511396067767
A4GALT,2.4594316186372973,4.321928094887363,4.678071905112637,4.19377174339668,4.06177619758669,4.638073837180719,3.035623909730721,3.8379432418910273,4.584962500721156,2.584962500721156,3.1538053360790355,3.4724877714627436,3.1210154009613658,3.3074285251922473,3.523561956057013,3.2172307162206693,3.4462562298895643,1.4854268271702418,4.026800059343715,4.185866545311334,3.867896463992655,5.0916998341368105,4.608809242675524
A4GNT,5.129283016944966,4.700439718141092,4.247927513443585,4.812498225333564,4.371558862611963,3.1538053360790355,3.786596361890807,4.419538891513785,4.817623257511431,4.121015400961366,2.8875252707415875,4.412781525338476,3.678071905112638,4.465974464504069,1.9634741239748859,5.7114949066500875,3.8875252707415875,3.4195388915137843,1.3785116232537298,5.022367813028454,4.412781525338476,2.137503523749935,1.765534746362977
AAAS,4.614709844115208,4.802193216941825,2.925999418556223,4.478971805032942,5.074676686294496,4.626439136697315,4.802193216941825,3.169925001442312,4.06177619758669,5.181897643108388,4.459431618637297,5.426264754702098,5.053111336459563,5.087462841250339,4.517275693209582,4.77082904603249,4.185866545311334,5.24412594328373,3.776103988073164,3.263034405833794,5.066089190457772,3.786596361890807,3.84799690655495
AACS,6.989820220117596,6.826548487290915,7.124121311829188,7.832890014164741,7.285402218862249,8.132885253625162,7.455327220304561,7.534497433738168,7.759555343206311,7.714245517666122,7.534497433738168,7.5576551547254205,7.512542955096859,7.865423978313134,7.71218305120923,8.30514974563003,7.340740280630179,7.7741281442935835,7.348728154231077,7.639521599510833,7.675957032941749,7.685099172006606,7.717676423066396
AADAC,2.0,2.4059923596758366,3.9541963103868754,3.2172307162206693,5.357552004618084,3.137503523749935,5.070389327891398,2.035623909730721,5.339850002884624,1.4854268271702418,1.9634741239748859,3.776103988073164,2.4059923596758366,0.6780719051126377,4.112700132749362,5.296457407371244,3.4594316186372973,1.3219280948873624,5.078951341394822,3.3074285251922473,4.754887502163468,4.892391025913404,3.990954860396993
AAGAB,5.038087128362124,4.916634810404199,4.529537007331782,4.9030008805317,5.202538812830122,5.106418402017407,5.154840488461813,4.852781637283162,4.903419790899095,4.550909067113705,4.55559392316352,4.55830194143711,5.063107014013128,5.119799264624562,5.9035607156552175,4.8950113056329005,4.855953916386257,4.603885432684722,5.0613622396711255,4.602774455586516,6.22554501170854,5.1382483328201785,4.390892950687863
AAK1,3.863245902668514,4.993153417526941,3.7904609721141895,3.9594579249845454,4.48583098174383,5.187279017766505,4.40235482963506,4.911628595297179,4.0639302205315015,3.549406419054381,3.702943094214084,4.942958367419644,3.472001538141474,3.6317158139338552,4.103507433812678,5.091472094477302,3.873786046371074,3.6121882862204706,5.272449204435,4.168094924580222,4.5413661139485875,4.793681634398785,4.134920306573798
AAMDC,7.7870465863583505,8.181973763559336,5.737397957710485,5.680556294260306,5.530883441944227,6.403047503158963,5.498565532994474,5.212316940411704,5.696372097883546,4.680466866660997,5.365562111079359,5.031291136802575,5.343559619940192,4.929892839503887,5.745982493345046,5.945972942133974,5.01338482067509,4.784297200473827,5.761474942758995,5.89255485047186,5.9694919165799005,5.7525506935108455,5.825417917587441
AAMP,6.96116025813664,5.902073579310743,4.5668151540108965,3.4724877714627436,6.307428525192248,6.292781749227846,3.4854268271702415,3.3923174227787602,6.161887682376894,6.4212232992251375,6.491853096329675,6.651051691178929,5.979568100095187,6.303780748177103,6.323730337521348,5.459431618637297,6.013462259806563,6.343407822297814,6.022367813028454,6.350497247084133,5.590961241342599,5.181897643108388,5.872828759534886
