Gene,Betweenness_Score
MYC,0.17638458892328862
PTPRC,0.13033195734434125
JUN,0.08752579979360164
RAC2,0.07447540419676642
CYBB,0.06832645338837288
ITGAM,0.04824561403508772
CORO1A,0.04742862057103543
CYR61,0.04033367733058135
STAT1,0.03928018575851393
ITGB2,0.038011695906432746
HLA-DQB1,0.03783969728242174
LCK,0.03603371173030616
CEBPD,0.03216374269005848
CD4,0.03164774681802546
CCR5,0.028637770897832815
CCL5,0.02754127966976264
CD74,0.02702528379772962
ARHGDIB,0.02571379428964568
PRKCB,0.025369797041623666
CSK,0.025197798417612657
ST6GAL1,0.02502579979360165
HSPA1A,0.0244453044375645
CSF1R,0.019951840385276916
IL15,0.018833849329205368
PIK3CD,0.018145854833161335
CCR2,0.01780185758513932
HLA-DRB1,0.01767285861713106
KLF2,0.017543859649122806
CASP1,0.0174578603371173
KLF4,0.017027863777089782
PTPN6,0.016511867905056758
CD79A,0.016253869969040248
SDC1,0.015307877536979703
ATF3,0.014877880976952184
ARPC1B,0.014619883040935672
ZBTB16,0.01436188510491916
CD247,0.014275885792913657
THY1,0.01371689026487788
PPP1R15A,0.013673890608875128
PSMB9,0.013329893360853114
RHOB,0.013157894736842105
PLCG2,0.012985896112831097
CD27,0.012964396284829722
CFD,0.012899896800825593
GPX3,0.012555899552803578
GFRA2,0.012555899552803578
ARHGAP25,0.012555899552803578
SAV1,0.012555899552803578
TFPI,0.01195390436876505
PTTG1,0.01195390436876505
CD52,0.011695906432748537
CD3D,0.01066391468868249
IGLL5,0.009459924320605434
BLNK,0.008685930512555898
NFIL3,0.007890436876504987
LILRB1,0.00771843825249398
HK3,0.007352941176470588
DOK2,0.007309941520467836
IGHV4-38-2,0.0071379428964568285
PLIN1,0.007094943240454076
NKG7,0.006815445476436188
NCF1,0.006707946336429308
GADD45B,0.006449948400412796
RTP4,0.006105951152390781
ZFP36,0.005847953216374269
CD2,0.005761953904368765
BCL6,0.005761953904368765
MYO1F,0.005675954592363261
FABP4,0.005546955624355005
NCKAP1L,0.005073959408324734
UCP2,0.004815961472308222
FCGR3B,0.0041279669762641896
POU2AF1,0.003869969040247678
RAP2B,0.003783969728242174
RND3,0.003611971104231166
ACTR3,0.0032679738562091504
IGJ,0.0027519779841761265
MX2,0.002085483316133471
JUNB,0.001805985552115583
BTG2,0.0017199862401100791
IL1R1,0.001676986584107327
CCR1,0.0012039903680770554
PTPRCAP,0.0008599931200550396
LILRB3,0.0006879944960440316
RRM2,0.0006879944960440316
APOBEC3F,0.0006879944960440316
CXCL13,0.0006879944960440316
COTL1,0.0005159958720330237
ALOX5,0.0005159958720330237
GPSM3,0.0004299965600275198
DOCK10,0.0003439972480220158
HLA-DPA1,0.00025799793601651185
MZB1,0.00025799793601651185
GSN,0.00025799793601651185
EGR1,0.0001719986240110079
TRAF3IP3,0.0001719986240110079
NCOR2,0.0001719986240110079
DAAM2,0.0001719986240110079
ADCY2,0.0001719986240110079
AIM2,0.0001719986240110079
GADD45A,0.0001719986240110079
CALML4,0.0001719986240110079
HLA-DPB1,0.00012899896800825592
MAFF,8.599931200550395e-05
NDC80,8.599931200550395e-05
AGTR1,8.599931200550395e-05
HLA-DMA,0.0
HLA-DMB,0.0
HLA-DOB,0.0
LAMA2,0.0
TENC1,0.0
TNS3,0.0
TGFBR3,0.0
EIF1,0.0
TNFRSF17,0.0
GALNT1,0.0
ICAM3,0.0
LILRB4,0.0
KMO,0.0
PLBD1,0.0
STK10,0.0
SFRP1,0.0
SEMA4D,0.0
PLXNC1,0.0
ADAMDEC1,0.0
PPAP2B,0.0
LPXN,0.0
ABLIM1,0.0
WASF3,0.0
DAZL,0.0
ARHGEF18,0.0
FOSL2,0.0
BTN3A3,0.0
BTN3A2,0.0
EDNRB,0.0
ADAMTS1,0.0
UBE2L6,0.0
CKAP2,0.0
MAOA,0.0
ADH1B,0.0
MARCKS,0.0
ADM,0.0
RASSF2,0.0
DPYSL3,0.0
RNASET2,0.0
TCF7L2,0.0
CYP4B1,0.0
PIM2,0.0
SPRY2,0.0
PRDX4,0.0
AASS,0.0
FRMD4B,0.0
NOVA1,0.0
TPD52,0.0
